zone_bk,zone_name,city,population,area_km2,latitude,longitude,etl_date
MARSEILLE_ZONE_005,Marseille - Zone 5,Marseille,272145,20.89,43.310115,5.388522,2026-04-19 07:14:37.237948
MARSEILLE_ZONE_006,Marseille - Zone 6,Marseille,532318,34.31,43.315183,5.36508,2026-04-19 07:14:37.239922
MARSEILLE_ZONE_007,Marseille - Zone 7,Marseille,408716,39.25,43.31971,5.343851,2026-04-19 07:14:37.241707
MARSEILLE_ZONE_008,Marseille - Zone 8,Marseille,398956,31.86,43.281756,5.375187,2026-04-19 07:14:37.243297
MARSEILLE_ZONE_009,Marseille - Zone 9,Marseille,352367,32.49,43.272047,5.369115,2026-04-19 07:14:37.245086
MARSEILLE_ZONE_010,Marseille - Zone 10,Marseille,260683,32.86,43.273348,5.347516,2026-04-19 07:14:37.246668
MARSEILLE_ZONE_011,Marseille - Zone 11,Marseille,342020,28.11,43.247606,5.341833,2026-04-19 07:14:37.248363
MARSEILLE_ZONE_012,Marseille - Zone 12,Marseille,321269,26.47,43.236011,5.319786,2026-04-19 07:14:37.250048
MARSEILLE_ZONE_013,Marseille - Zone 13,Marseille,220118,23.34,43.229468,5.299033,2026-04-19 07:14:37.251911
MONTPELLIER_ZONE_001,Montpellier - Zone 1,Montpellier,184443,22.24,43.555916,3.818625,2026-04-19 07:14:37.263774
MONTPELLIER_ZONE_002,Montpellier - Zone 2,Montpellier,274337,27.94,43.579717,3.827464,2026-04-19 07:14:37.265500
MONTPELLIER_ZONE_003,Montpellier - Zone 3,Montpellier,345487,30.28,43.572539,3.853742,2026-04-19 07:14:37.267332
MONTPELLIER_ZONE_004,Montpellier - Zone 4,Montpellier,304868,20.38,43.599939,3.852306,2026-04-19 07:14:37.269056
MONTPELLIER_ZONE_005,Montpellier - Zone 5,Montpellier,410233,31.85,43.600461,3.86969,2026-04-19 07:14:37.270839
MONTPELLIER_ZONE_006,Montpellier - Zone 6,Montpellier,390423,33.04,43.599428,3.881706,2026-04-19 07:14:37.272669
MONTPELLIER_ZONE_007,Montpellier - Zone 7,Montpellier,344166,35.71,43.601321,3.895552,2026-04-19 07:14:37.274335
MONTPELLIER_ZONE_008,Montpellier - Zone 8,Montpellier,167202,12.63,43.610455,3.901785,2026-04-19 07:14:37.277409
MONTPELLIER_ZONE_009,Montpellier - Zone 9,Montpellier,292120,41.84,43.608877,3.91089,2026-04-19 07:14:37.279242
MONTPELLIER_ZONE_010,Montpellier - Zone 10,Montpellier,348207,45.45,43.633507,3.899199,2026-04-19 07:14:37.280911
MONTPELLIER_ZONE_011,Montpellier - Zone 11,Montpellier,342008,39.23,43.632633,3.908315,2026-04-19 07:14:37.282556
MONTPELLIER_ZONE_012,Montpellier - Zone 12,Montpellier,349914,38.21,43.627585,3.922203,2026-04-19 07:14:37.284393
MONTPELLIER_ZONE_013,Montpellier - Zone 13,Montpellier,481787,39.16,43.649078,3.916816,2026-04-19 07:14:37.286095
MONTPELLIER_ZONE_014,Montpellier - Zone 14,Montpellier,345101,17.92,43.649694,3.931132,2026-04-19 07:14:37.287704
MONTPELLIER_ZONE_015,Montpellier - Zone 15,Montpellier,256953,18.0,43.674854,3.944196,2026-04-19 07:14:37.289470
NANTES_ZONE_001,Nantes - Zone 1,Nantes,311066,26.69,47.290142,-1.588998,2026-04-19 07:14:37.300809
NANTES_ZONE_002,Nantes - Zone 2,Nantes,315352,19.03,47.280407,-1.569102,2026-04-19 07:14:37.302473
NANTES_ZONE_003,Nantes - Zone 3,Nantes,320895,33.15,47.243258,-1.592725,2026-04-19 07:14:37.304271
NANTES_ZONE_004,Nantes - Zone 4,Nantes,290180,31.91,47.248081,-1.5612,2026-04-19 07:14:37.305967
NANTES_ZONE_005,Nantes - Zone 5,Nantes,243370,19.75,47.235089,-1.563616,2026-04-19 07:14:37.307702
NANTES_ZONE_006,Nantes - Zone 6,Nantes,360353,31.68,47.243666,-1.539819,2026-04-19 07:14:37.309497
NANTES_ZONE_007,Nantes - Zone 7,Nantes,473891,37.83,47.214833,-1.56802,2026-04-19 07:14:37.311142
NANTES_ZONE_008,Nantes - Zone 8,Nantes,355383,32.92,47.206728,-1.557151,2026-04-19 07:14:37.312888
NANTES_ZONE_009,Nantes - Zone 9,Nantes,354034,35.73,47.199688,-1.553588,2026-04-19 07:14:37.314567
NANTES_ZONE_010,Nantes - Zone 10,Nantes,378438,31.12,47.200753,-1.538988,2026-04-19 07:14:37.316680
NANTES_ZONE_011,Nantes - Zone 11,Nantes,429354,44.72,47.185104,-1.523124,2026-04-19 07:14:37.319067
NANTES_ZONE_012,Nantes - Zone 12,Nantes,282371,33.39,47.16091,-1.515737,2026-04-19 07:14:37.321027
NANTES_ZONE_013,Nantes - Zone 13,Nantes,326919,37.91,47.161145,-1.498015,2026-04-19 07:14:37.322598
NANTES_ZONE_014,Nantes - Zone 14,Nantes,187655,37.65,47.151766,-1.487919,2026-04-19 07:14:37.324331
NICE_ZONE_001,Nice - Zone 1,Nice,276385,19.71,43.782787,7.223977,2026-04-19 07:14:37.335467
NICE_ZONE_002,Nice - Zone 2,Nice,455202,30.48,43.770802,7.252811,2026-04-19 07:14:37.337096
NICE_ZONE_003,Nice - Zone 3,Nice,330813,35.86,43.7615,7.261558,2026-04-19 07:14:37.339169
NICE_ZONE_004,Nice - Zone 4,Nice,424558,37.8,43.74827,7.249791,2026-04-19 07:14:37.341508
NICE_ZONE_005,Nice - Zone 5,Nice,413541,32.34,43.746313,7.273515,2026-04-19 07:14:37.343191
NICE_ZONE_006,Nice - Zone 6,Nice,260156,27.25,43.720061,7.241759,2026-04-19 07:14:37.345457
NICE_ZONE_007,Nice - Zone 7,Nice,242108,24.19,43.703439,7.248836,2026-04-19 07:14:37.347891
NICE_ZONE_008,Nice - Zone 8,Nice,427616,45.71,43.699396,7.269725,2026-04-19 07:14:37.350220
NICE_ZONE_009,Nice - Zone 9,Nice,385410,34.23,43.689939,7.27596,2026-04-19 07:14:37.351841
NICE_ZONE_010,Nice - Zone 10,Nice,436046,43.86,43.673828,7.272122,2026-04-19 07:14:37.353496
NICE_ZONE_011,Nice - Zone 11,Nice,410590,44.5,43.664764,7.287695,2026-04-19 07:14:37.355096
NICE_ZONE_012,Nice - Zone 12,Nice,355168,33.96,43.647914,7.274517,2026-04-19 07:14:37.357045
NICE_ZONE_013,Nice - Zone 13,Nice,358425,20.58,43.642689,7.321177,2026-04-19 07:14:37.358712
PARIS_ZONE_001,Paris - Zone 1,Paris,340106,26.75,48.927422,2.34104,2026-04-19 07:14:37.369782
PARIS_ZONE_002,Paris - Zone 2,Paris,310703,36.81,48.918075,2.352002,2026-04-19 07:14:37.371477
PARIS_ZONE_003,Paris - Zone 3,Paris,295382,31.21,48.903136,2.36419,2026-04-19 07:14:37.373037
PARIS_ZONE_004,Paris - Zone 4,Paris,360124,28.07,48.886259,2.340549,2026-04-19 07:14:37.374612
PARIS_ZONE_005,Paris - Zone 5,Paris,388694,43.61,48.871452,2.338409,2026-04-19 07:14:37.376182
PARIS_ZONE_006,Paris - Zone 6,Paris,316572,36.82,48.859272,2.337381,2026-04-19 07:14:37.377826
PARIS_ZONE_007,Paris - Zone 7,Paris,332356,23.41,48.850743,2.343245,2026-04-19 07:14:37.379570
PARIS_ZONE_008,Paris - Zone 8,Paris,466001,39.07,48.836952,2.342564,2026-04-19 07:14:37.381632
PARIS_ZONE_009,Paris - Zone 9,Paris,175781,28.55,48.820293,2.357298,2026-04-19 07:14:37.383350
PARIS_ZONE_010,Paris - Zone 10,Paris,299798,33.71,48.809378,2.361624,2026-04-19 07:14:37.385161
PARIS_ZONE_011,Paris - Zone 11,Paris,281398,27.32,48.798344,2.341837,2026-04-19 07:14:37.386860
PARIS_ZONE_012,Paris - Zone 12,Paris,289523,26.17,48.790133,2.356516,2026-04-19 07:14:37.388727
PARIS_ZONE_013,Paris - Zone 13,Paris,292120,34.72,48.780023,2.35587,2026-04-19 07:14:37.390407
STRASBOURG_ZONE_001,Strasbourg - Zone 1,Strasbourg,307652,17.77,48.639674,7.683206,2026-04-19 07:14:37.402653
STRASBOURG_ZONE_002,Strasbourg - Zone 2,Strasbourg,380956,31.86,48.622568,7.695263,2026-04-19 07:14:37.404725
STRASBOURG_ZONE_003,Strasbourg - Zone 3,Strasbourg,283396,24.42,48.605378,7.701731,2026-04-19 07:14:37.406917
STRASBOURG_ZONE_004,Strasbourg - Zone 4,Strasbourg,230073,20.9,48.610526,7.723115,2026-04-19 07:14:37.409248
STRASBOURG_ZONE_005,Strasbourg - Zone 5,Strasbourg,315789,25.33,48.571945,7.70933,2026-04-19 07:14:37.411443
STRASBOURG_ZONE_006,Strasbourg - Zone 6,Strasbourg,498216,32.18,48.57056,7.72617,2026-04-19 07:14:37.413653
STRASBOURG_ZONE_007,Strasbourg - Zone 7,Strasbourg,397572,26.38,48.5519,7.72527,2026-04-19 07:14:37.416025
STRASBOURG_ZONE_008,Strasbourg - Zone 8,Strasbourg,421503,27.82,48.558726,7.742837,2026-04-19 07:14:37.418318
STRASBOURG_ZONE_009,Strasbourg - Zone 9,Strasbourg,266523,21.97,48.57267,7.772964,2026-04-19 07:14:37.420705
STRASBOURG_ZONE_010,Strasbourg - Zone 10,Strasbourg,255743,23.31,48.583375,7.801345,2026-04-19 07:14:37.423680
STRASBOURG_ZONE_011,Strasbourg - Zone 11,Strasbourg,408942,39.31,48.534841,7.788256,2026-04-19 07:14:37.425909
STRASBOURG_ZONE_012,Strasbourg - Zone 12,Strasbourg,378382,32.53,48.507952,7.813017,2026-04-19 07:14:37.427912
TOULOUSE_ZONE_001,Toulouse - Zone 1,Toulouse,257468,19.03,43.656659,1.386362,2026-04-19 07:14:37.440926
TOULOUSE_ZONE_002,Toulouse - Zone 2,Toulouse,342858,34.27,43.634509,1.408004,2026-04-19 07:14:37.442620
TOULOUSE_ZONE_003,Toulouse - Zone 3,Toulouse,299173,40.34,43.636051,1.427362,2026-04-19 07:14:37.444164
TOULOUSE_ZONE_004,Toulouse - Zone 4,Toulouse,328713,33.46,43.609723,1.415756,2026-04-19 07:14:37.445781
TOULOUSE_ZONE_005,Toulouse - Zone 5,Toulouse,375697,39.38,43.615792,1.435929,2026-04-19 07:14:37.447498
TOULOUSE_ZONE_006,Toulouse - Zone 6,Toulouse,330014,26.78,43.634216,1.469723,2026-04-19 07:14:37.449273
TOULOUSE_ZONE_007,Toulouse - Zone 7,Toulouse,464018,36.45,43.605314,1.452823,2026-04-19 07:14:37.450938
TOULOUSE_ZONE_008,Toulouse - Zone 8,Toulouse,367977,37.39,43.588076,1.452266,2026-04-19 07:14:37.452510
TOULOUSE_ZONE_009,Toulouse - Zone 9,Toulouse,383159,41.03,43.580403,1.466431,2026-04-19 07:14:37.454194
TOULOUSE_ZONE_010,Toulouse - Zone 10,Toulouse,321156,29.81,43.576359,1.474425,2026-04-19 07:14:37.455843
TOULOUSE_ZONE_011,Toulouse - Zone 11,Toulouse,281136,32.16,43.569208,1.486825,2026-04-19 07:14:37.457650
TOULOUSE_ZONE_012,Toulouse - Zone 12,Toulouse,311334,35.75,43.55723,1.485115,2026-04-19 07:14:37.459547
TOULOUSE_ZONE_013,Toulouse - Zone 13,Toulouse,239251,21.58,43.548476,1.498935,2026-04-19 07:14:37.461187
