tour_instance_bk,service_date,route_sk,route_bk,zone_bk,zone_name,city,start_datetime,end_datetime,visited_container_count,zone_container_count,all_zone_containers_visited,planned_distance_m,actual_distance_m,planned_duration_min,actual_duration_min
TOUR_20250401_00038,2025-04-01,371,ROUTE_0371,MONTPELLIER_ZONE_012,Montpellier - Zone 12,Montpellier,2025-04-01 08:02:00,2025-04-01 10:42:00,15,15,True,30674.87,30521.01,153,160
TOUR_20250401_00039,2025-04-01,420,ROUTE_0420,MONTPELLIER_ZONE_015,Montpellier - Zone 15,Montpellier,2025-04-01 06:39:00,2025-04-01 09:43:00,14,15,False,36737.71,38362.87,185,184
TOUR_20250401_00040,2025-04-01,292,ROUTE_0292,NANTES_ZONE_002,Nantes - Zone 2,Nantes,2025-04-01 06:30:00,2025-04-01 08:57:00,15,15,True,16531.67,16506.36,140,147
TOUR_20250401_00041,2025-04-01,379,ROUTE_0379,NANTES_ZONE_005,Nantes - Zone 5,Nantes,2025-04-01 10:39:00,2025-04-01 13:06:00,12,15,False,26683.42,26496.33,150,147
TOUR_20250401_00042,2025-04-01,13,ROUTE_0013,NANTES_ZONE_007,Nantes - Zone 7,Nantes,2025-04-01 15:21:00,2025-04-01 18:42:00,15,15,True,33516.12,32970.35,199,201
TOUR_20250401_00043,2025-04-01,396,ROUTE_0396,NANTES_ZONE_008,Nantes - Zone 8,Nantes,2025-04-01 07:00:00,2025-04-01 09:28:00,11,14,False,31984.92,32671.61,145,148
TOUR_20250401_00044,2025-04-01,366,ROUTE_0366,NANTES_ZONE_009,Nantes - Zone 9,Nantes,2025-04-01 13:57:00,2025-04-01 16:30:00,14,14,True,22862.4,23015.5,154,153
TOUR_20250401_00045,2025-04-01,89,ROUTE_0089,NANTES_ZONE_010,Nantes - Zone 10,Nantes,2025-04-01 14:29:00,2025-04-01 17:04:00,14,14,True,25581.99,25673.4,157,155
TOUR_20250401_00046,2025-04-01,364,ROUTE_0364,NANTES_ZONE_013,Nantes - Zone 13,Nantes,2025-04-01 06:42:00,2025-04-01 09:21:00,11,14,False,22589.68,22438.94,157,159
TOUR_20250401_00047,2025-04-01,53,ROUTE_0053,NANTES_ZONE_014,Nantes - Zone 14,Nantes,2025-04-01 06:19:00,2025-04-01 08:24:00,13,14,False,14031.0,14687.21,129,125
TOUR_20250401_00048,2025-04-01,159,ROUTE_0159,NICE_ZONE_001,Nice - Zone 1,Nice,2025-04-01 06:28:00,2025-04-01 08:13:00,11,16,False,17973.07,17824.56,109,105
TOUR_20250401_00049,2025-04-01,358,ROUTE_0358,NICE_ZONE_002,Nice - Zone 2,Nice,2025-04-01 06:50:00,2025-04-01 09:57:00,15,16,False,30709.22,31006.28,183,187
TOUR_20250401_00050,2025-04-01,473,ROUTE_0473,NICE_ZONE_006,Nice - Zone 6,Nice,2025-04-01 11:11:00,2025-04-01 13:34:00,11,16,False,28479.77,28562.73,150,143
TOUR_20250401_00051,2025-04-01,394,ROUTE_0394,NICE_ZONE_008,Nice - Zone 8,Nice,2025-04-01 08:19:00,2025-04-01 11:37:00,15,15,True,41380.99,40741.46,190,198
TOUR_20250401_00052,2025-04-01,458,ROUTE_0458,NICE_ZONE_009,Nice - Zone 9,Nice,2025-04-01 07:15:00,2025-04-01 09:48:00,15,15,True,21377.43,22029.64,147,153
TOUR_20250401_00053,2025-04-01,307,ROUTE_0307,NICE_ZONE_012,Nice - Zone 12,Nice,2025-04-01 06:00:00,2025-04-01 07:25:00,10,15,False,8718.55,8657.55,75,85
TOUR_20250401_00054,2025-04-01,65,ROUTE_0065,PARIS_ZONE_001,Paris - Zone 1,Paris,2025-04-01 07:03:00,2025-04-01 10:11:00,16,16,True,34036.12,35121.27,196,188
TOUR_20250401_00055,2025-04-01,329,ROUTE_0329,PARIS_ZONE_002,Paris - Zone 2,Paris,2025-04-01 14:11:00,2025-04-01 17:29:00,16,16,True,36109.99,35606.78,189,198
TOUR_20250401_00056,2025-04-01,3,ROUTE_0003,PARIS_ZONE_003,Paris - Zone 3,Paris,2025-04-01 07:20:00,2025-04-01 09:53:00,15,16,False,18043.03,17758.12,143,153
TOUR_20250401_00057,2025-04-01,277,ROUTE_0277,PARIS_ZONE_004,Paris - Zone 4,Paris,2025-04-01 11:13:00,2025-04-01 14:33:00,15,16,False,42035.99,42861.25,203,200
TOUR_20250401_00058,2025-04-01,73,ROUTE_0073,PARIS_ZONE_007,Paris - Zone 7,Paris,2025-04-01 07:48:00,2025-04-01 10:41:00,15,15,True,21723.47,21533.14,166,173
TOUR_20250401_00059,2025-04-01,288,ROUTE_0288,PARIS_ZONE_008,Paris - Zone 8,Paris,2025-04-01 10:24:00,2025-04-01 12:05:00,10,15,False,18746.4,18857.78,103,101
TOUR_20250401_00060,2025-04-01,67,ROUTE_0067,PARIS_ZONE_011,Paris - Zone 11,Paris,2025-04-01 06:18:00,2025-04-01 09:28:00,15,15,True,28269.75,29351.01,189,190
TOUR_20250401_00061,2025-04-01,489,ROUTE_0489,PARIS_ZONE_012,Paris - Zone 12,Paris,2025-04-01 06:58:00,2025-04-01 09:31:00,15,15,True,22145.33,21830.6,154,153
TOUR_20250401_00062,2025-04-01,293,ROUTE_0293,PARIS_ZONE_013,Paris - Zone 13,Paris,2025-04-01 07:13:00,2025-04-01 09:51:00,12,15,False,39740.63,41401.7,151,158
TOUR_20250401_00063,2025-04-01,400,ROUTE_0400,STRASBOURG_ZONE_001,Strasbourg - Zone 1,Strasbourg,2025-04-01 05:43:00,2025-04-01 07:11:00,10,15,False,10550.22,10375.7,83,88
TOUR_20250401_00064,2025-04-01,101,ROUTE_0101,STRASBOURG_ZONE_004,Strasbourg - Zone 4,Strasbourg,2025-04-01 05:45:00,2025-04-01 09:04:00,13,15,False,36029.35,36694.42,206,199
TOUR_20250401_00065,2025-04-01,465,ROUTE_0465,STRASBOURG_ZONE_005,Strasbourg - Zone 5,Strasbourg,2025-04-01 07:36:00,2025-04-01 10:56:00,15,15,True,37375.06,37693.63,206,200
TOUR_20250401_00066,2025-04-01,220,ROUTE_0220,STRASBOURG_ZONE_006,Strasbourg - Zone 6,Strasbourg,2025-04-01 06:45:00,2025-04-01 09:23:00,15,15,True,23971.82,24015.36,162,158
TOUR_20250401_00067,2025-04-01,214,ROUTE_0214,STRASBOURG_ZONE_008,Strasbourg - Zone 8,Strasbourg,2025-04-01 06:05:00,2025-04-01 07:30:00,10,15,False,8717.33,9046.08,76,85
TOUR_20250401_00068,2025-04-01,75,ROUTE_0075,STRASBOURG_ZONE_009,Strasbourg - Zone 9,Strasbourg,2025-04-01 06:03:00,2025-04-01 07:57:00,13,15,False,17181.07,17176.18,115,114
TOUR_20250401_00069,2025-04-01,482,ROUTE_0482,STRASBOURG_ZONE_010,Strasbourg - Zone 10,Strasbourg,2025-04-01 06:43:00,2025-04-01 09:49:00,15,15,True,26266.22,25916.73,183,186
TOUR_20250401_00070,2025-04-01,259,ROUTE_0259,STRASBOURG_ZONE_011,Strasbourg - Zone 11,Strasbourg,2025-04-01 10:43:00,2025-04-01 12:53:00,14,14,True,14847.39,14658.01,128,130
TOUR_20250401_00071,2025-04-01,312,ROUTE_0312,STRASBOURG_ZONE_012,Strasbourg - Zone 12,Strasbourg,2025-04-01 15:00:00,2025-04-01 17:25:00,13,14,False,17907.73,17853.18,139,145
TOUR_20250401_00072,2025-04-01,135,ROUTE_0135,TOULOUSE_ZONE_003,Toulouse - Zone 3,Toulouse,2025-04-01 08:23:00,2025-04-01 10:35:00,15,15,True,17269.19,17823.04,129,132
TOUR_20250401_00073,2025-04-01,430,ROUTE_0430,TOULOUSE_ZONE_005,Toulouse - Zone 5,Toulouse,2025-04-01 07:27:00,2025-04-01 09:07:00,11,15,False,14276.24,14514.98,101,100
TOUR_20250401_00074,2025-04-01,176,ROUTE_0176,TOULOUSE_ZONE_008,Toulouse - Zone 8,Toulouse,2025-04-01 07:12:00,2025-04-01 10:15:00,12,15,False,38317.96,38848.74,177,183
TOUR_20250401_00075,2025-04-01,403,ROUTE_0403,TOULOUSE_ZONE_010,Toulouse - Zone 10,Toulouse,2025-04-01 11:20:00,2025-04-01 13:12:00,14,14,True,12899.88,12853.97,103,112
TOUR_20250401_00076,2025-04-01,194,ROUTE_0194,TOULOUSE_ZONE_012,Toulouse - Zone 12,Toulouse,2025-04-01 07:36:00,2025-04-01 10:25:00,14,14,True,21924.6,22879.48,159,169
TOUR_20250402_00077,2025-04-02,363,ROUTE_0363,BORDEAUX_ZONE_001,Bordeaux - Zone 1,Bordeaux,2025-04-02 07:12:00,2025-04-02 09:20:00,10,15,False,26268.92,25879.67,128,128
TOUR_20250402_00078,2025-04-02,414,ROUTE_0414,BORDEAUX_ZONE_004,Bordeaux - Zone 4,Bordeaux,2025-04-02 14:10:00,2025-04-02 16:25:00,10,15,False,31610.42,32138.07,127,135
TOUR_20250402_00079,2025-04-02,185,ROUTE_0185,BORDEAUX_ZONE_005,Bordeaux - Zone 5,Bordeaux,2025-04-02 14:33:00,2025-04-02 17:07:00,11,15,False,32345.08,32627.11,148,154
TOUR_20250402_00080,2025-04-02,215,ROUTE_0215,BORDEAUX_ZONE_010,Bordeaux - Zone 10,Bordeaux,2025-04-02 10:50:00,2025-04-02 13:07:00,15,15,True,13208.31,13775.1,140,137
TOUR_20250402_00081,2025-04-02,213,ROUTE_0213,BORDEAUX_ZONE_012,Bordeaux - Zone 12,Bordeaux,2025-04-02 10:11:00,2025-04-02 13:11:00,12,15,False,38825.27,38462.31,176,180
TOUR_20250402_00082,2025-04-02,470,ROUTE_0470,LILLE_ZONE_001,Lille - Zone 1,Lille,2025-04-02 07:49:00,2025-04-02 10:40:00,16,16,True,19523.96,20462.13,169,171
TOUR_20250402_00083,2025-04-02,448,ROUTE_0448,LILLE_ZONE_003,Lille - Zone 3,Lille,2025-04-02 09:13:00,2025-04-02 11:52:00,16,16,True,22475.93,22711.25,156,159
TOUR_20250402_00084,2025-04-02,256,ROUTE_0256,LILLE_ZONE_004,Lille - Zone 4,Lille,2025-04-02 11:37:00,2025-04-02 14:34:00,14,16,False,31595.64,32441.33,171,177
TOUR_20250402_00085,2025-04-02,421,ROUTE_0421,LILLE_ZONE_005,Lille - Zone 5,Lille,2025-04-02 06:25:00,2025-04-02 09:26:00,13,15,False,31648.31,32068.59,174,181
TOUR_20250402_00086,2025-04-02,383,ROUTE_0383,LILLE_ZONE_006,Lille - Zone 6,Lille,2025-04-02 09:31:00,2025-04-02 12:19:00,15,15,True,39605.7,39529.21,161,168
TOUR_20250402_00087,2025-04-02,247,ROUTE_0247,LILLE_ZONE_007,Lille - Zone 7,Lille,2025-04-02 06:59:00,2025-04-02 09:35:00,10,15,False,37658.3,37597.69,156,156
TOUR_20250402_00088,2025-04-02,390,ROUTE_0390,LILLE_ZONE_009,Lille - Zone 9,Lille,2025-04-02 05:33:00,2025-04-02 08:07:00,15,15,True,29395.27,29611.48,146,154
TOUR_20250402_00089,2025-04-02,180,ROUTE_0180,LILLE_ZONE_012,Lille - Zone 12,Lille,2025-04-02 09:58:00,2025-04-02 11:36:00,12,15,False,11591.87,12075.04,91,98
TOUR_20250402_00090,2025-04-02,204,ROUTE_0204,LYON_ZONE_001,Lyon - Zone 1,Lyon,2025-04-02 11:03:00,2025-04-02 14:21:00,13,16,False,43909.86,43849.14,198,198
TOUR_20250402_00091,2025-04-02,426,ROUTE_0426,LYON_ZONE_002,Lyon - Zone 2,Lyon,2025-04-02 11:45:00,2025-04-02 14:25:00,12,16,False,34482.71,34288.11,158,160
TOUR_20250402_00092,2025-04-02,412,ROUTE_0412,LYON_ZONE_003,Lyon - Zone 3,Lyon,2025-04-02 10:34:00,2025-04-02 12:40:00,13,16,False,29039.64,28626.22,132,126
TOUR_20250402_00093,2025-04-02,326,ROUTE_0326,LYON_ZONE_006,Lyon - Zone 6,Lyon,2025-04-02 14:50:00,2025-04-02 16:54:00,12,15,False,22191.31,23194.34,124,124
TOUR_20250402_00094,2025-04-02,461,ROUTE_0461,LYON_ZONE_007,Lyon - Zone 7,Lyon,2025-04-02 06:49:00,2025-04-02 08:54:00,13,15,False,20463.82,20673.19,119,125
TOUR_20250402_00095,2025-04-02,87,ROUTE_0087,LYON_ZONE_008,Lyon - Zone 8,Lyon,2025-04-02 05:31:00,2025-04-02 08:19:00,15,15,True,32269.07,32904.65,167,168
TOUR_20250402_00096,2025-04-02,184,ROUTE_0184,LYON_ZONE_010,Lyon - Zone 10,Lyon,2025-04-02 07:31:00,2025-04-02 09:04:00,10,15,False,10905.12,10719.5,90,93
TOUR_20250402_00097,2025-04-02,246,ROUTE_0246,LYON_ZONE_011,Lyon - Zone 11,Lyon,2025-04-02 05:31:00,2025-04-02 07:17:00,10,15,False,18201.91,18320.16,110,106
TOUR_20250402_00098,2025-04-02,484,ROUTE_0484,LYON_ZONE_013,Lyon - Zone 13,Lyon,2025-04-02 09:31:00,2025-04-02 12:39:00,12,15,False,39548.92,39391.42,196,188
TOUR_20250402_00099,2025-04-02,369,ROUTE_0369,MARSEILLE_ZONE_001,Marseille - Zone 1,Marseille,2025-04-02 10:48:00,2025-04-02 13:27:00,15,15,True,31944.01,32629.33,156,159
TOUR_20250402_00100,2025-04-02,19,ROUTE_0019,MARSEILLE_ZONE_003,Marseille - Zone 3,Marseille,2025-04-02 07:42:00,2025-04-02 10:41:00,15,15,True,25603.71,26063.94,184,179
TOUR_20250402_00101,2025-04-02,211,ROUTE_0211,MARSEILLE_ZONE_005,Marseille - Zone 5,Marseille,2025-04-02 11:58:00,2025-04-02 14:08:00,14,15,False,16282.78,16174.5,124,130
TOUR_20250402_00102,2025-04-02,120,ROUTE_0120,MARSEILLE_ZONE_006,Marseille - Zone 6,Marseille,2025-04-02 09:46:00,2025-04-02 12:56:00,15,15,True,37257.35,37442.79,198,190
TOUR_20250402_00103,2025-04-02,419,ROUTE_0419,MARSEILLE_ZONE_007,Marseille - Zone 7,Marseille,2025-04-02 05:42:00,2025-04-02 07:47:00,11,15,False,21803.39,22796.4,127,125
TOUR_20250402_00104,2025-04-02,350,ROUTE_0350,MARSEILLE_ZONE_008,Marseille - Zone 8,Marseille,2025-04-02 06:02:00,2025-04-02 08:15:00,13,15,False,17164.21,17693.25,139,133
TOUR_20250402_00105,2025-04-02,140,ROUTE_0140,MARSEILLE_ZONE_010,Marseille - Zone 10,Marseille,2025-04-02 07:52:00,2025-04-02 09:52:00,14,15,False,13442.58,13670.91,126,120
TOUR_20250402_00106,2025-04-02,429,ROUTE_0429,MARSEILLE_ZONE_011,Marseille - Zone 11,Marseille,2025-04-02 11:58:00,2025-04-02 15:29:00,15,15,True,39219.48,39972.95,202,211
TOUR_20250402_00107,2025-04-02,490,ROUTE_0490,MARSEILLE_ZONE_012,Marseille - Zone 12,Marseille,2025-04-02 13:44:00,2025-04-02 16:31:00,14,14,True,36239.93,35652.82,170,167
TOUR_20250402_00108,2025-04-02,258,ROUTE_0258,MARSEILLE_ZONE_013,Marseille - Zone 13,Marseille,2025-04-02 09:04:00,2025-04-02 10:29:00,11,14,False,12234.83,12210.85,75,85
TOUR_20250402_00109,2025-04-02,103,ROUTE_0103,MONTPELLIER_ZONE_002,Montpellier - Zone 2,Montpellier,2025-04-02 05:57:00,2025-04-02 07:48:00,16,16,True,15506.08,15772.37,102,111
TOUR_20250402_00110,2025-04-02,132,ROUTE_0132,MONTPELLIER_ZONE_003,Montpellier - Zone 3,Montpellier,2025-04-02 11:55:00,2025-04-02 14:15:00,13,15,False,20164.41,20160.94,142,140
TOUR_20250402_00111,2025-04-02,290,ROUTE_0290,MONTPELLIER_ZONE_004,Montpellier - Zone 4,Montpellier,2025-04-02 15:24:00,2025-04-02 18:10:00,15,15,True,41978.79,42441.79,156,166
TOUR_20250402_00112,2025-04-02,244,ROUTE_0244,MONTPELLIER_ZONE_006,Montpellier - Zone 6,Montpellier,2025-04-02 06:28:00,2025-04-02 09:25:00,15,15,True,25639.49,26879.65,181,177
TOUR_20250402_00113,2025-04-02,173,ROUTE_0173,MONTPELLIER_ZONE_009,Montpellier - Zone 9,Montpellier,2025-04-02 05:38:00,2025-04-02 08:01:00,15,15,True,22058.53,22258.92,147,143
TOUR_20250402_00114,2025-04-02,188,ROUTE_0188,MONTPELLIER_ZONE_010,Montpellier - Zone 10,Montpellier,2025-04-02 11:00:00,2025-04-02 14:02:00,15,15,True,30720.97,32071.58,177,182
TOUR_20250402_00115,2025-04-02,240,ROUTE_0240,MONTPELLIER_ZONE_011,Montpellier - Zone 11,Montpellier,2025-04-02 11:46:00,2025-04-02 14:10:00,13,15,False,20930.55,21798.01,149,144
TOUR_20250402_00116,2025-04-02,476,ROUTE_0476,MONTPELLIER_ZONE_013,Montpellier - Zone 13,Montpellier,2025-04-02 09:27:00,2025-04-02 12:05:00,15,15,True,23086.68,24082.66,157,158
TOUR_20250402_00117,2025-04-02,282,ROUTE_0282,NANTES_ZONE_001,Nantes - Zone 1,Nantes,2025-04-02 07:07:00,2025-04-02 09:19:00,15,15,True,17254.14,17291.48,126,132
TOUR_20250402_00118,2025-04-02,292,ROUTE_0292,NANTES_ZONE_002,Nantes - Zone 2,Nantes,2025-04-02 05:37:00,2025-04-02 08:00:00,15,15,True,17795.66,17966.84,133,143
TOUR_20250402_00119,2025-04-02,323,ROUTE_0323,NANTES_ZONE_004,Nantes - Zone 4,Nantes,2025-04-02 08:08:00,2025-04-02 10:43:00,15,15,True,18275.57,18038.55,156,155
TOUR_20250402_00120,2025-04-02,2,ROUTE_0002,NANTES_ZONE_005,Nantes - Zone 5,Nantes,2025-04-02 13:36:00,2025-04-02 15:43:00,12,15,False,28865.56,28679.19,124,127
TOUR_20250402_00121,2025-04-02,283,ROUTE_0283,NANTES_ZONE_006,Nantes - Zone 6,Nantes,2025-04-02 10:22:00,2025-04-02 13:38:00,11,15,False,39627.63,40849.2,195,196
TOUR_20250402_00122,2025-04-02,13,ROUTE_0013,NANTES_ZONE_007,Nantes - Zone 7,Nantes,2025-04-02 11:32:00,2025-04-02 15:00:00,15,15,True,36313.24,36681.42,206,208
TOUR_20250402_00123,2025-04-02,366,ROUTE_0366,NANTES_ZONE_009,Nantes - Zone 9,Nantes,2025-04-02 09:21:00,2025-04-02 12:08:00,14,14,True,24896.82,24448.97,171,167
TOUR_20250402_00124,2025-04-02,219,ROUTE_0219,NANTES_ZONE_011,Nantes - Zone 11,Nantes,2025-04-02 06:50:00,2025-04-02 09:38:00,14,14,True,36843.53,37216.17,175,168
TOUR_20250402_00125,2025-04-02,193,ROUTE_0193,NANTES_ZONE_012,Nantes - Zone 12,Nantes,2025-04-02 09:33:00,2025-04-02 12:21:00,12,14,False,33196.72,33112.37,166,168
TOUR_20250402_00126,2025-04-02,166,ROUTE_0166,NANTES_ZONE_013,Nantes - Zone 13,Nantes,2025-04-02 06:50:00,2025-04-02 08:43:00,12,14,False,22328.48,22572.61,121,113
TOUR_20250402_00127,2025-04-02,386,ROUTE_0386,NANTES_ZONE_014,Nantes - Zone 14,Nantes,2025-04-02 06:51:00,2025-04-02 09:00:00,14,14,True,19473.53,19356.74,127,129
TOUR_20250402_00128,2025-04-02,267,ROUTE_0267,NICE_ZONE_002,Nice - Zone 2,Nice,2025-04-02 06:14:00,2025-04-02 08:33:00,14,16,False,22782.83,23908.79,143,139
TOUR_20250402_00129,2025-04-02,153,ROUTE_0153,NICE_ZONE_003,Nice - Zone 3,Nice,2025-04-02 08:19:00,2025-04-02 11:00:00,14,16,False,30449.29,31265.53,167,161
TOUR_20250402_00130,2025-04-02,235,ROUTE_0235,NICE_ZONE_004,Nice - Zone 4,Nice,2025-04-02 08:29:00,2025-04-02 10:58:00,16,16,True,17657.39,18183.61,156,149
