tour_instance_bk,service_date,zone_bk,route_bk,agent_bk,role_in_tour,start_datetime,end_datetime
TOUR_20250401_00007,2025-04-01,BORDEAUX_ZONE_011,ROUTE_0242,AGENT_00973,DRIVER,2025-04-01 07:17:00,2025-04-01 09:27:00
TOUR_20250401_00007,2025-04-01,BORDEAUX_ZONE_011,ROUTE_0242,AGENT_00521,COLLECTOR,2025-04-01 07:17:00,2025-04-01 09:27:00
TOUR_20250401_00008,2025-04-01,BORDEAUX_ZONE_013,ROUTE_0328,AGENT_00667,DRIVER,2025-04-01 07:45:00,2025-04-01 10:04:00
TOUR_20250401_00008,2025-04-01,BORDEAUX_ZONE_013,ROUTE_0328,AGENT_00853,COLLECTOR,2025-04-01 07:45:00,2025-04-01 10:04:00
TOUR_20250401_00009,2025-04-01,LILLE_ZONE_001,ROUTE_0257,AGENT_00472,DRIVER,2025-04-01 06:59:00,2025-04-01 09:33:00
TOUR_20250401_00009,2025-04-01,LILLE_ZONE_001,ROUTE_0257,AGENT_00271,COLLECTOR,2025-04-01 06:59:00,2025-04-01 09:33:00
TOUR_20250401_00010,2025-04-01,LILLE_ZONE_002,ROUTE_0154,AGENT_00965,DRIVER,2025-04-01 15:10:00,2025-04-01 17:45:00
TOUR_20250401_00010,2025-04-01,LILLE_ZONE_002,ROUTE_0154,AGENT_00764,COLLECTOR,2025-04-01 15:10:00,2025-04-01 17:45:00
TOUR_20250401_00011,2025-04-01,LILLE_ZONE_003,ROUTE_0448,AGENT_00245,DRIVER,2025-04-01 10:56:00,2025-04-01 12:49:00
TOUR_20250401_00011,2025-04-01,LILLE_ZONE_003,ROUTE_0448,AGENT_00907,COLLECTOR,2025-04-01 10:56:00,2025-04-01 12:49:00
TOUR_20250401_00011,2025-04-01,LILLE_ZONE_003,ROUTE_0448,AGENT_00474,COLLECTOR,2025-04-01 10:56:00,2025-04-01 12:49:00
TOUR_20250401_00012,2025-04-01,LILLE_ZONE_006,ROUTE_0383,AGENT_00106,DRIVER,2025-04-01 08:14:00,2025-04-01 10:57:00
TOUR_20250401_00012,2025-04-01,LILLE_ZONE_006,ROUTE_0383,AGENT_00362,COLLECTOR,2025-04-01 08:14:00,2025-04-01 10:57:00
TOUR_20250401_00012,2025-04-01,LILLE_ZONE_006,ROUTE_0383,AGENT_00073,SUPERVISOR,2025-04-01 08:14:00,2025-04-01 10:57:00
TOUR_20250401_00013,2025-04-01,LILLE_ZONE_008,ROUTE_0463,AGENT_00263,DRIVER,2025-04-01 05:55:00,2025-04-01 08:26:00
TOUR_20250401_00013,2025-04-01,LILLE_ZONE_008,ROUTE_0463,AGENT_00256,COLLECTOR,2025-04-01 05:55:00,2025-04-01 08:26:00
TOUR_20250401_00014,2025-04-01,LILLE_ZONE_010,ROUTE_0498,AGENT_00742,DRIVER,2025-04-01 05:55:00,2025-04-01 08:03:00
TOUR_20250401_00014,2025-04-01,LILLE_ZONE_010,ROUTE_0498,AGENT_00441,COLLECTOR,2025-04-01 05:55:00,2025-04-01 08:03:00
TOUR_20250401_00015,2025-04-01,LYON_ZONE_001,ROUTE_0204,AGENT_00910,DRIVER,2025-04-01 06:30:00,2025-04-01 09:44:00
TOUR_20250401_00015,2025-04-01,LYON_ZONE_001,ROUTE_0204,AGENT_00780,COLLECTOR,2025-04-01 06:30:00,2025-04-01 09:44:00
TOUR_20250401_00015,2025-04-01,LYON_ZONE_001,ROUTE_0204,AGENT_00483,COLLECTOR,2025-04-01 06:30:00,2025-04-01 09:44:00
TOUR_20250401_00016,2025-04-01,LYON_ZONE_002,ROUTE_0136,AGENT_00167,DRIVER,2025-04-01 09:19:00,2025-04-01 13:05:00
TOUR_20250401_00016,2025-04-01,LYON_ZONE_002,ROUTE_0136,AGENT_00457,COLLECTOR,2025-04-01 09:19:00,2025-04-01 13:05:00
TOUR_20250401_00016,2025-04-01,LYON_ZONE_002,ROUTE_0136,AGENT_00070,SUPERVISOR,2025-04-01 09:19:00,2025-04-01 13:05:00
TOUR_20250401_00017,2025-04-01,LYON_ZONE_003,ROUTE_0284,AGENT_00624,DRIVER,2025-04-01 10:11:00,2025-04-01 11:58:00
TOUR_20250401_00017,2025-04-01,LYON_ZONE_003,ROUTE_0284,AGENT_00303,COLLECTOR,2025-04-01 10:11:00,2025-04-01 11:58:00
TOUR_20250401_00017,2025-04-01,LYON_ZONE_003,ROUTE_0284,AGENT_00999,COLLECTOR,2025-04-01 10:11:00,2025-04-01 11:58:00
TOUR_20250401_00018,2025-04-01,LYON_ZONE_007,ROUTE_0461,AGENT_00872,DRIVER,2025-04-01 07:12:00,2025-04-01 09:24:00
TOUR_20250401_00018,2025-04-01,LYON_ZONE_007,ROUTE_0461,AGENT_00402,COLLECTOR,2025-04-01 07:12:00,2025-04-01 09:24:00
TOUR_20250401_00018,2025-04-01,LYON_ZONE_007,ROUTE_0461,AGENT_00689,SUPERVISOR,2025-04-01 07:12:00,2025-04-01 09:24:00
TOUR_20250401_00019,2025-04-01,LYON_ZONE_009,ROUTE_0107,AGENT_00647,DRIVER,2025-04-01 06:11:00,2025-04-01 08:32:00
TOUR_20250401_00019,2025-04-01,LYON_ZONE_009,ROUTE_0107,AGENT_00951,COLLECTOR,2025-04-01 06:11:00,2025-04-01 08:32:00
TOUR_20250401_00020,2025-04-01,LYON_ZONE_011,ROUTE_0127,AGENT_00792,DRIVER,2025-04-01 07:00:00,2025-04-01 08:51:00
TOUR_20250401_00020,2025-04-01,LYON_ZONE_011,ROUTE_0127,AGENT_00892,COLLECTOR,2025-04-01 07:00:00,2025-04-01 08:51:00
TOUR_20250401_00020,2025-04-01,LYON_ZONE_011,ROUTE_0127,AGENT_00553,COLLECTOR,2025-04-01 07:00:00,2025-04-01 08:51:00
TOUR_20250401_00020,2025-04-01,LYON_ZONE_011,ROUTE_0127,AGENT_00407,SUPERVISOR,2025-04-01 07:00:00,2025-04-01 08:51:00
TOUR_20250401_00021,2025-04-01,LYON_ZONE_012,ROUTE_0306,AGENT_00050,DRIVER,2025-04-01 07:10:00,2025-04-01 09:00:00
TOUR_20250401_00021,2025-04-01,LYON_ZONE_012,ROUTE_0306,AGENT_00212,COLLECTOR,2025-04-01 07:10:00,2025-04-01 09:00:00
TOUR_20250401_00021,2025-04-01,LYON_ZONE_012,ROUTE_0306,AGENT_00797,COLLECTOR,2025-04-01 07:10:00,2025-04-01 09:00:00
TOUR_20250401_00022,2025-04-01,LYON_ZONE_013,ROUTE_0208,AGENT_00343,DRIVER,2025-04-01 15:05:00,2025-04-01 16:38:00
TOUR_20250401_00022,2025-04-01,LYON_ZONE_013,ROUTE_0208,AGENT_00215,COLLECTOR,2025-04-01 15:05:00,2025-04-01 16:38:00
TOUR_20250401_00023,2025-04-01,MARSEILLE_ZONE_003,ROUTE_0144,AGENT_00081,DRIVER,2025-04-01 10:55:00,2025-04-01 14:04:00
TOUR_20250401_00023,2025-04-01,MARSEILLE_ZONE_003,ROUTE_0144,AGENT_00709,COLLECTOR,2025-04-01 10:55:00,2025-04-01 14:04:00
TOUR_20250401_00024,2025-04-01,MARSEILLE_ZONE_004,ROUTE_0331,AGENT_00756,DRIVER,2025-04-01 08:25:00,2025-04-01 11:13:00
TOUR_20250401_00024,2025-04-01,MARSEILLE_ZONE_004,ROUTE_0331,AGENT_00584,COLLECTOR,2025-04-01 08:25:00,2025-04-01 11:13:00
TOUR_20250401_00025,2025-04-01,MARSEILLE_ZONE_006,ROUTE_0495,AGENT_00235,DRIVER,2025-04-01 08:02:00,2025-04-01 10:42:00
TOUR_20250401_00025,2025-04-01,MARSEILLE_ZONE_006,ROUTE_0495,AGENT_00096,COLLECTOR,2025-04-01 08:02:00,2025-04-01 10:42:00
TOUR_20250401_00026,2025-04-01,MARSEILLE_ZONE_008,ROUTE_0336,AGENT_00607,DRIVER,2025-04-01 09:41:00,2025-04-01 11:38:00
TOUR_20250401_00026,2025-04-01,MARSEILLE_ZONE_008,ROUTE_0336,AGENT_00719,COLLECTOR,2025-04-01 09:41:00,2025-04-01 11:38:00
TOUR_20250401_00027,2025-04-01,MARSEILLE_ZONE_009,ROUTE_0049,AGENT_00364,DRIVER,2025-04-01 09:04:00,2025-04-01 12:04:00
TOUR_20250401_00027,2025-04-01,MARSEILLE_ZONE_009,ROUTE_0049,AGENT_00373,COLLECTOR,2025-04-01 09:04:00,2025-04-01 12:04:00
TOUR_20250401_00028,2025-04-01,MARSEILLE_ZONE_010,ROUTE_0317,AGENT_00482,DRIVER,2025-04-01 05:55:00,2025-04-01 07:44:00
TOUR_20250401_00028,2025-04-01,MARSEILLE_ZONE_010,ROUTE_0317,AGENT_00731,COLLECTOR,2025-04-01 05:55:00,2025-04-01 07:44:00
TOUR_20250401_00029,2025-04-01,MARSEILLE_ZONE_011,ROUTE_0021,AGENT_00695,DRIVER,2025-04-01 09:34:00,2025-04-01 12:08:00
TOUR_20250401_00029,2025-04-01,MARSEILLE_ZONE_011,ROUTE_0021,AGENT_00396,COLLECTOR,2025-04-01 09:34:00,2025-04-01 12:08:00
TOUR_20250401_00030,2025-04-01,MARSEILLE_ZONE_013,ROUTE_0112,AGENT_00938,DRIVER,2025-04-01 05:53:00,2025-04-01 08:26:00
TOUR_20250401_00030,2025-04-01,MARSEILLE_ZONE_013,ROUTE_0112,AGENT_00833,COLLECTOR,2025-04-01 05:53:00,2025-04-01 08:26:00
TOUR_20250401_00031,2025-04-01,MONTPELLIER_ZONE_002,ROUTE_0103,AGENT_00662,DRIVER,2025-04-01 09:05:00,2025-04-01 10:51:00
TOUR_20250401_00031,2025-04-01,MONTPELLIER_ZONE_002,ROUTE_0103,AGENT_00948,COLLECTOR,2025-04-01 09:05:00,2025-04-01 10:51:00
TOUR_20250401_00032,2025-04-01,MONTPELLIER_ZONE_003,ROUTE_0132,AGENT_00970,DRIVER,2025-04-01 06:24:00,2025-04-01 09:10:00
TOUR_20250401_00032,2025-04-01,MONTPELLIER_ZONE_003,ROUTE_0132,AGENT_00091,COLLECTOR,2025-04-01 06:24:00,2025-04-01 09:10:00
TOUR_20250401_00033,2025-04-01,MONTPELLIER_ZONE_004,ROUTE_0290,AGENT_00849,DRIVER,2025-04-01 14:30:00,2025-04-01 16:40:00
TOUR_20250401_00033,2025-04-01,MONTPELLIER_ZONE_004,ROUTE_0290,AGENT_00905,COLLECTOR,2025-04-01 14:30:00,2025-04-01 16:40:00
TOUR_20250401_00034,2025-04-01,MONTPELLIER_ZONE_005,ROUTE_0417,AGENT_00439,DRIVER,2025-04-01 09:14:00,2025-04-01 11:21:00
TOUR_20250401_00034,2025-04-01,MONTPELLIER_ZONE_005,ROUTE_0417,AGENT_00157,COLLECTOR,2025-04-01 09:14:00,2025-04-01 11:21:00
TOUR_20250401_00034,2025-04-01,MONTPELLIER_ZONE_005,ROUTE_0417,AGENT_00156,SUPERVISOR,2025-04-01 09:14:00,2025-04-01 11:21:00
TOUR_20250401_00035,2025-04-01,MONTPELLIER_ZONE_007,ROUTE_0025,AGENT_00851,DRIVER,2025-04-01 11:00:00,2025-04-01 13:11:00
TOUR_20250401_00035,2025-04-01,MONTPELLIER_ZONE_007,ROUTE_0025,AGENT_00928,COLLECTOR,2025-04-01 11:00:00,2025-04-01 13:11:00
TOUR_20250401_00035,2025-04-01,MONTPELLIER_ZONE_007,ROUTE_0025,AGENT_00138,COLLECTOR,2025-04-01 11:00:00,2025-04-01 13:11:00
TOUR_20250401_00036,2025-04-01,MONTPELLIER_ZONE_009,ROUTE_0372,AGENT_00201,DRIVER,2025-04-01 06:41:00,2025-04-01 09:14:00
TOUR_20250401_00036,2025-04-01,MONTPELLIER_ZONE_009,ROUTE_0372,AGENT_00420,COLLECTOR,2025-04-01 06:41:00,2025-04-01 09:14:00
TOUR_20250401_00037,2025-04-01,MONTPELLIER_ZONE_010,ROUTE_0343,AGENT_00301,DRIVER,2025-04-01 11:59:00,2025-04-01 14:51:00
TOUR_20250401_00037,2025-04-01,MONTPELLIER_ZONE_010,ROUTE_0343,AGENT_00254,COLLECTOR,2025-04-01 11:59:00,2025-04-01 14:51:00
TOUR_20250401_00038,2025-04-01,MONTPELLIER_ZONE_012,ROUTE_0371,AGENT_00432,DRIVER,2025-04-01 08:02:00,2025-04-01 10:42:00
TOUR_20250401_00038,2025-04-01,MONTPELLIER_ZONE_012,ROUTE_0371,AGENT_00189,COLLECTOR,2025-04-01 08:02:00,2025-04-01 10:42:00
TOUR_20250401_00039,2025-04-01,MONTPELLIER_ZONE_015,ROUTE_0420,AGENT_00644,DRIVER,2025-04-01 06:39:00,2025-04-01 09:43:00
TOUR_20250401_00039,2025-04-01,MONTPELLIER_ZONE_015,ROUTE_0420,AGENT_00083,COLLECTOR,2025-04-01 06:39:00,2025-04-01 09:43:00
TOUR_20250401_00040,2025-04-01,NANTES_ZONE_002,ROUTE_0292,AGENT_00053,DRIVER,2025-04-01 06:30:00,2025-04-01 08:57:00
TOUR_20250401_00040,2025-04-01,NANTES_ZONE_002,ROUTE_0292,AGENT_00274,COLLECTOR,2025-04-01 06:30:00,2025-04-01 08:57:00
TOUR_20250401_00041,2025-04-01,NANTES_ZONE_005,ROUTE_0379,AGENT_00958,DRIVER,2025-04-01 10:39:00,2025-04-01 13:06:00
TOUR_20250401_00041,2025-04-01,NANTES_ZONE_005,ROUTE_0379,AGENT_00299,COLLECTOR,2025-04-01 10:39:00,2025-04-01 13:06:00
TOUR_20250401_00041,2025-04-01,NANTES_ZONE_005,ROUTE_0379,AGENT_00520,SUPERVISOR,2025-04-01 10:39:00,2025-04-01 13:06:00
TOUR_20250401_00042,2025-04-01,NANTES_ZONE_007,ROUTE_0013,AGENT_00978,DRIVER,2025-04-01 15:21:00,2025-04-01 18:42:00
TOUR_20250401_00042,2025-04-01,NANTES_ZONE_007,ROUTE_0013,AGENT_00750,COLLECTOR,2025-04-01 15:21:00,2025-04-01 18:42:00
TOUR_20250401_00043,2025-04-01,NANTES_ZONE_008,ROUTE_0396,AGENT_00601,DRIVER,2025-04-01 07:00:00,2025-04-01 09:28:00
TOUR_20250401_00043,2025-04-01,NANTES_ZONE_008,ROUTE_0396,AGENT_00319,COLLECTOR,2025-04-01 07:00:00,2025-04-01 09:28:00
TOUR_20250401_00043,2025-04-01,NANTES_ZONE_008,ROUTE_0396,AGENT_00546,COLLECTOR,2025-04-01 07:00:00,2025-04-01 09:28:00
TOUR_20250401_00044,2025-04-01,NANTES_ZONE_009,ROUTE_0366,AGENT_00267,DRIVER,2025-04-01 13:57:00,2025-04-01 16:30:00
TOUR_20250401_00044,2025-04-01,NANTES_ZONE_009,ROUTE_0366,AGENT_00323,COLLECTOR,2025-04-01 13:57:00,2025-04-01 16:30:00
TOUR_20250401_00045,2025-04-01,NANTES_ZONE_010,ROUTE_0089,AGENT_00146,DRIVER,2025-04-01 14:29:00,2025-04-01 17:04:00
TOUR_20250401_00045,2025-04-01,NANTES_ZONE_010,ROUTE_0089,AGENT_00538,COLLECTOR,2025-04-01 14:29:00,2025-04-01 17:04:00
TOUR_20250401_00045,2025-04-01,NANTES_ZONE_010,ROUTE_0089,AGENT_00127,COLLECTOR,2025-04-01 14:29:00,2025-04-01 17:04:00
TOUR_20250401_00046,2025-04-01,NANTES_ZONE_013,ROUTE_0364,AGENT_00320,DRIVER,2025-04-01 06:42:00,2025-04-01 09:21:00
TOUR_20250401_00046,2025-04-01,NANTES_ZONE_013,ROUTE_0364,AGENT_00971,COLLECTOR,2025-04-01 06:42:00,2025-04-01 09:21:00
TOUR_20250401_00047,2025-04-01,NANTES_ZONE_014,ROUTE_0053,AGENT_00757,DRIVER,2025-04-01 06:19:00,2025-04-01 08:24:00
TOUR_20250401_00047,2025-04-01,NANTES_ZONE_014,ROUTE_0053,AGENT_00425,COLLECTOR,2025-04-01 06:19:00,2025-04-01 08:24:00
TOUR_20250401_00048,2025-04-01,NICE_ZONE_001,ROUTE_0159,AGENT_00850,DRIVER,2025-04-01 06:28:00,2025-04-01 08:13:00
TOUR_20250401_00048,2025-04-01,NICE_ZONE_001,ROUTE_0159,AGENT_00751,COLLECTOR,2025-04-01 06:28:00,2025-04-01 08:13:00
TOUR_20250401_00048,2025-04-01,NICE_ZONE_001,ROUTE_0159,AGENT_00895,COLLECTOR,2025-04-01 06:28:00,2025-04-01 08:13:00
TOUR_20250401_00049,2025-04-01,NICE_ZONE_002,ROUTE_0358,AGENT_00337,DRIVER,2025-04-01 06:50:00,2025-04-01 09:57:00
TOUR_20250401_00049,2025-04-01,NICE_ZONE_002,ROUTE_0358,AGENT_00997,COLLECTOR,2025-04-01 06:50:00,2025-04-01 09:57:00
TOUR_20250401_00049,2025-04-01,NICE_ZONE_002,ROUTE_0358,AGENT_00814,COLLECTOR,2025-04-01 06:50:00,2025-04-01 09:57:00
TOUR_20250401_00050,2025-04-01,NICE_ZONE_006,ROUTE_0473,AGENT_00856,DRIVER,2025-04-01 11:11:00,2025-04-01 13:34:00
TOUR_20250401_00050,2025-04-01,NICE_ZONE_006,ROUTE_0473,AGENT_00286,COLLECTOR,2025-04-01 11:11:00,2025-04-01 13:34:00
TOUR_20250401_00050,2025-04-01,NICE_ZONE_006,ROUTE_0473,AGENT_00207,COLLECTOR,2025-04-01 11:11:00,2025-04-01 13:34:00
TOUR_20250401_00050,2025-04-01,NICE_ZONE_006,ROUTE_0473,AGENT_00258,SUPERVISOR,2025-04-01 11:11:00,2025-04-01 13:34:00
TOUR_20250401_00051,2025-04-01,NICE_ZONE_008,ROUTE_0394,AGENT_00625,DRIVER,2025-04-01 08:19:00,2025-04-01 11:37:00
TOUR_20250401_00051,2025-04-01,NICE_ZONE_008,ROUTE_0394,AGENT_00278,COLLECTOR,2025-04-01 08:19:00,2025-04-01 11:37:00
TOUR_20250401_00051,2025-04-01,NICE_ZONE_008,ROUTE_0394,AGENT_00181,COLLECTOR,2025-04-01 08:19:00,2025-04-01 11:37:00
TOUR_20250401_00052,2025-04-01,NICE_ZONE_009,ROUTE_0458,AGENT_00036,DRIVER,2025-04-01 07:15:00,2025-04-01 09:48:00
TOUR_20250401_00052,2025-04-01,NICE_ZONE_009,ROUTE_0458,AGENT_00202,COLLECTOR,2025-04-01 07:15:00,2025-04-01 09:48:00
TOUR_20250401_00053,2025-04-01,NICE_ZONE_012,ROUTE_0307,AGENT_00992,DRIVER,2025-04-01 06:00:00,2025-04-01 07:25:00
TOUR_20250401_00053,2025-04-01,NICE_ZONE_012,ROUTE_0307,AGENT_00105,COLLECTOR,2025-04-01 06:00:00,2025-04-01 07:25:00
TOUR_20250401_00054,2025-04-01,PARIS_ZONE_001,ROUTE_0065,AGENT_00218,DRIVER,2025-04-01 07:03:00,2025-04-01 10:11:00
TOUR_20250401_00054,2025-04-01,PARIS_ZONE_001,ROUTE_0065,AGENT_00934,COLLECTOR,2025-04-01 07:03:00,2025-04-01 10:11:00
TOUR_20250401_00055,2025-04-01,PARIS_ZONE_002,ROUTE_0329,AGENT_00552,DRIVER,2025-04-01 14:11:00,2025-04-01 17:29:00
TOUR_20250401_00055,2025-04-01,PARIS_ZONE_002,ROUTE_0329,AGENT_00877,COLLECTOR,2025-04-01 14:11:00,2025-04-01 17:29:00
TOUR_20250401_00055,2025-04-01,PARIS_ZONE_002,ROUTE_0329,AGENT_00673,COLLECTOR,2025-04-01 14:11:00,2025-04-01 17:29:00
TOUR_20250401_00056,2025-04-01,PARIS_ZONE_003,ROUTE_0003,AGENT_00334,DRIVER,2025-04-01 07:20:00,2025-04-01 09:53:00
TOUR_20250401_00056,2025-04-01,PARIS_ZONE_003,ROUTE_0003,AGENT_00919,COLLECTOR,2025-04-01 07:20:00,2025-04-01 09:53:00
TOUR_20250401_00057,2025-04-01,PARIS_ZONE_004,ROUTE_0277,AGENT_00166,DRIVER,2025-04-01 11:13:00,2025-04-01 14:33:00
TOUR_20250401_00057,2025-04-01,PARIS_ZONE_004,ROUTE_0277,AGENT_00898,COLLECTOR,2025-04-01 11:13:00,2025-04-01 14:33:00
TOUR_20250401_00057,2025-04-01,PARIS_ZONE_004,ROUTE_0277,AGENT_00051,COLLECTOR,2025-04-01 11:13:00,2025-04-01 14:33:00
TOUR_20250401_00058,2025-04-01,PARIS_ZONE_007,ROUTE_0073,AGENT_00931,DRIVER,2025-04-01 07:48:00,2025-04-01 10:41:00
TOUR_20250401_00058,2025-04-01,PARIS_ZONE_007,ROUTE_0073,AGENT_00085,COLLECTOR,2025-04-01 07:48:00,2025-04-01 10:41:00
TOUR_20250401_00059,2025-04-01,PARIS_ZONE_008,ROUTE_0288,AGENT_00044,DRIVER,2025-04-01 10:24:00,2025-04-01 12:05:00
TOUR_20250401_00059,2025-04-01,PARIS_ZONE_008,ROUTE_0288,AGENT_00583,COLLECTOR,2025-04-01 10:24:00,2025-04-01 12:05:00
TOUR_20250401_00060,2025-04-01,PARIS_ZONE_011,ROUTE_0067,AGENT_00692,DRIVER,2025-04-01 06:18:00,2025-04-01 09:28:00
TOUR_20250401_00060,2025-04-01,PARIS_ZONE_011,ROUTE_0067,AGENT_00030,COLLECTOR,2025-04-01 06:18:00,2025-04-01 09:28:00
TOUR_20250401_00060,2025-04-01,PARIS_ZONE_011,ROUTE_0067,AGENT_00395,COLLECTOR,2025-04-01 06:18:00,2025-04-01 09:28:00
TOUR_20250401_00061,2025-04-01,PARIS_ZONE_012,ROUTE_0489,AGENT_00825,DRIVER,2025-04-01 06:58:00,2025-04-01 09:31:00
TOUR_20250401_00061,2025-04-01,PARIS_ZONE_012,ROUTE_0489,AGENT_00463,COLLECTOR,2025-04-01 06:58:00,2025-04-01 09:31:00
TOUR_20250401_00062,2025-04-01,PARIS_ZONE_013,ROUTE_0293,AGENT_00444,DRIVER,2025-04-01 07:13:00,2025-04-01 09:51:00
TOUR_20250401_00062,2025-04-01,PARIS_ZONE_013,ROUTE_0293,AGENT_00754,COLLECTOR,2025-04-01 07:13:00,2025-04-01 09:51:00
TOUR_20250401_00063,2025-04-01,STRASBOURG_ZONE_001,ROUTE_0400,AGENT_00722,DRIVER,2025-04-01 05:43:00,2025-04-01 07:11:00
TOUR_20250401_00063,2025-04-01,STRASBOURG_ZONE_001,ROUTE_0400,AGENT_00190,COLLECTOR,2025-04-01 05:43:00,2025-04-01 07:11:00
TOUR_20250401_00064,2025-04-01,STRASBOURG_ZONE_004,ROUTE_0101,AGENT_00372,DRIVER,2025-04-01 05:45:00,2025-04-01 09:04:00
TOUR_20250401_00064,2025-04-01,STRASBOURG_ZONE_004,ROUTE_0101,AGENT_00109,COLLECTOR,2025-04-01 05:45:00,2025-04-01 09:04:00
TOUR_20250401_00065,2025-04-01,STRASBOURG_ZONE_005,ROUTE_0465,AGENT_00390,DRIVER,2025-04-01 07:36:00,2025-04-01 10:56:00
TOUR_20250401_00065,2025-04-01,STRASBOURG_ZONE_005,ROUTE_0465,AGENT_00413,COLLECTOR,2025-04-01 07:36:00,2025-04-01 10:56:00
TOUR_20250401_00066,2025-04-01,STRASBOURG_ZONE_006,ROUTE_0220,AGENT_00261,DRIVER,2025-04-01 06:45:00,2025-04-01 09:23:00
TOUR_20250401_00066,2025-04-01,STRASBOURG_ZONE_006,ROUTE_0220,AGENT_00705,COLLECTOR,2025-04-01 06:45:00,2025-04-01 09:23:00
TOUR_20250401_00067,2025-04-01,STRASBOURG_ZONE_008,ROUTE_0214,AGENT_00682,DRIVER,2025-04-01 06:05:00,2025-04-01 07:30:00
TOUR_20250401_00067,2025-04-01,STRASBOURG_ZONE_008,ROUTE_0214,AGENT_00116,COLLECTOR,2025-04-01 06:05:00,2025-04-01 07:30:00
TOUR_20250401_00068,2025-04-01,STRASBOURG_ZONE_009,ROUTE_0075,AGENT_00795,DRIVER,2025-04-01 06:03:00,2025-04-01 07:57:00
TOUR_20250401_00068,2025-04-01,STRASBOURG_ZONE_009,ROUTE_0075,AGENT_00585,COLLECTOR,2025-04-01 06:03:00,2025-04-01 07:57:00
TOUR_20250401_00069,2025-04-01,STRASBOURG_ZONE_010,ROUTE_0482,AGENT_00002,DRIVER,2025-04-01 06:43:00,2025-04-01 09:49:00
TOUR_20250401_00069,2025-04-01,STRASBOURG_ZONE_010,ROUTE_0482,AGENT_00228,COLLECTOR,2025-04-01 06:43:00,2025-04-01 09:49:00
TOUR_20250401_00070,2025-04-01,STRASBOURG_ZONE_011,ROUTE_0259,AGENT_00513,DRIVER,2025-04-01 10:43:00,2025-04-01 12:53:00
TOUR_20250401_00070,2025-04-01,STRASBOURG_ZONE_011,ROUTE_0259,AGENT_00501,COLLECTOR,2025-04-01 10:43:00,2025-04-01 12:53:00
TOUR_20250401_00071,2025-04-01,STRASBOURG_ZONE_012,ROUTE_0312,AGENT_00111,DRIVER,2025-04-01 15:00:00,2025-04-01 17:25:00
TOUR_20250401_00071,2025-04-01,STRASBOURG_ZONE_012,ROUTE_0312,AGENT_00966,COLLECTOR,2025-04-01 15:00:00,2025-04-01 17:25:00
TOUR_20250401_00072,2025-04-01,TOULOUSE_ZONE_003,ROUTE_0135,AGENT_00859,DRIVER,2025-04-01 08:23:00,2025-04-01 10:35:00
TOUR_20250401_00072,2025-04-01,TOULOUSE_ZONE_003,ROUTE_0135,AGENT_00893,COLLECTOR,2025-04-01 08:23:00,2025-04-01 10:35:00
TOUR_20250401_00072,2025-04-01,TOULOUSE_ZONE_003,ROUTE_0135,AGENT_00567,COLLECTOR,2025-04-01 08:23:00,2025-04-01 10:35:00
